fcode	fsubgrp	fname	bunit	diarym	unitfo	dilfac	maxw	nut1	nut2	nut3	nut4	nut5	nut6	nut7	nut8	nut9	nut10	nut11	nut12	nut13	nut14	nut15	nut16	nut17	nut18	nut19	nut20	nut21	nut22	nut23	nut24	nut25	nut26	nut27	nut28	nut29	nut30	nut31	nut32	nut33	nut34	nut35	nut36	nut37	nut38	nut39	nut40	nut41	nut42	nut43	nut44	nut45	nut46	nut47	nut48	nut49	nut50	nut51	nut52	nut53	nut54	nut55
1585	34B	SQUID FRESH RAW	100	1	GRAMS	1	1	80.5	0	0	0	77	325	15.4	1.7	0	0	110	280	13	28	190	.5	.98	1.1	280	20	15	0	0	.1	.12	6.7	0	1.2	.7	3	13	.7	7	.36	.22	.45	.16	0	225	0	0	0	0	0	0	0	.02	0	0	0	.2	.3	0	0	2.46
1586	34B	SQUID FROZEN RAW	100	1	GRAMS	1	1	84.2	0	0	0	66	278	13.1	1.5	0	0	190	150	13	36	170	.2	.68	1.2	280	20	15	0	0	.05	.02	4.9	0	1.2	.7	3	2	.7	7	.32	.19	.4	.14	0	200	0	0	0	0	0	0	0	.02	0	0	0	.1	.1	0	0	2.09
1587	34B	SQUID DRIED	100	1	GRAMS	1	100	21.8	0	0	0	295	1246	63.3	4.6	0	0	940	610	55	120	620	4	3.93	4.4	1400	100	75	0	0	.13	.17	20.3	0	6	3.5	15	65	3.4	35	.97	.59	1.22	.44	0	615	0	0	0	0	0	0	0	.08	0	0	0	1.6	2.4	0	0	10.12
1588	34B	WHELKS BOILED	100	1	GRAMS	1	100	73.9	0	0	0	89	376	19.5	1.2	0	0	280	190	84	87	140	3.3	6.59	12.1	480	80	26	0	0	.04	.17	5.5	0	.8	.1	21	6	.5	6	.21	.23	.27	.13	0	125	0	0	0	0	0	0	0	.12	0	0	0	1.3	2	0	0	3.12
1589	34B	WHELKS BOILED WE	100	1	GRAMS	1	300	25.1	0	0	0	30	128	6.6	.4	0	0	95	65	29	30	48	1.1	2.24	4.1	160	27	9	0	0	.01	.06	1.8	0	.3	0	7	2	.2	2	.07	.08	.09	.04	0	43	0	0	0	0	0	0	0	.04	0	0	0	.4	.7	0	0	1.05
1590	34B	WINKLES BOILED	100	1	GRAMS	1	100	73	0	0	0	72	306	15.4	1.2	0	0	750	220	130	310	160	10.2	1.7	3.3	1160	80	26	0	0	.29	.38	5	0	3.9	.1	36	6	.3	3	.18	.21	.28	.17	0	105	0	0	0	0	0	0	0	1.2	0	0	0	4.1	6.1	0	0	2.46
1591	34B	WINKLES BOILED W	100	1	GRAMS	1	300	13.9	0	0	0	14	58	2.9	.2	0	0	140	42	25	58	29	1.9	.32	.6	220	15	5	0	0	.06	.07	.9	0	.7	0	7	1	.1	1	.03	.03	.05	.03	0	20	0	0	0	0	0	0	0	.23	0	0	0	.8	1.1	0	0	.46
1592	34B	ABALONE,CANNED,F	100	1	GRAMS	1	100	65.1	0	0	0	117	496	24.8	2	0	0	990	110	10	28	150	8.8	.25	2.7	790	100	0	30	0	.01	.04	7.9	0	1.1	.1	22	37	.4	9	.4	.29	.57	.13	0	58	0	0	0	0	0	0	0	.05	30	0	0	3.5	5.3	0	0	3.96
1593	35R	ANCHOVIES CANNED	100	1	GRAMS	1	100	46.4	0	0	0	211	885	30.3	10	0	0	3930	230	300	56	300	4.1	.17	3	6090	23	57	0	5	0	.1	9.5	0	.31	.2	11	18	.9	5	1.65	5.42	.05	1.82	.05	63	0	0	0	0	0	0	0	.18	0	0	0	1.6	2.5	0	0	4.84
1594	34A	CAVIAR	100	1	GRAMS	1	50	74.3	0	0	0	92	385	10.9	5.4	0	0	2120	60	10	3	300	.5	.11	1.1	3180	100	0	0	5.87	0	.09	2	0	2.8	.3	5	4	.5	13	.81	1.18	1.47	.24	0	285	0	0	0	0	0	0	0	.05	0	0	0	.2	.3	0	0	1.74
1595	34A	CHINESE FISH BAL	100	1	GRAMS	1	350	82.2	0	5.5	0	74	313	11.8	.5	5.5	0	750	110	26	13	100	.2	.07	.3	1030	69	1	0	0	.02	.03	3	0	.3	.3	1	4	.1	1	.09	.05	.18	.01	0	31	0	0	0	0	0	0	0	.02	0	0	0	0	.2	0	0	1.88
1596	34B	CLAMS CANNED SEA	100	1	GRAMS	1	100	69.9	0	0	0	69	294	16	.6	0	0	1200	630	74	18	280	8	.69	2.7	970	160	10	20	0	.02	.06	6	0	1.1	0	49.4	18	.4	9	.18	.12	.11	.01	0	67	0	0	0	0	0	0	0	.03	20	0	0	3.2	4.8	0	0	2.56
1597	34A	CURRIED WHITE FI	100	1	Grams	1	350	66.65	.89	.36	.44	227.46	941.87	8.96	20.78	1.25	0	264.31	243.39	14.73	15.35	118.64	.97	.07	.31	398.63	57.27	139.67	257.58	.39	.05	.05	2.86	2.48	1.17	.21	1.38	7.86	.14	.91	13.61	4.33	.21	.35	.9	78.82	.41	.01	.42	0	0	0	.38	.2	256.14	0	2.26	.09	.87	0	.89	1.43
1598	35R	CURRIED OILY FIS	100	1	Grams	1	200	58.07	3.16	.34	.86	274.87	1137.19	9.59	24.83	3.51	0	280.58	310.87	49.76	25.17	153.39	1.5	.12	.66	433.36	26.05	147.93	249.6	7.5	.05	.12	3.93	3.83	1.25	.21	6.64	11.61	.43	3.82	14.28	6.23	1.07	.49	.87	74.16	1.01	.57	.87	0	0	.67	.77	.24	248.22	0	2.16	.26	1.23	0	3.16	1.53
1599	34B	CUTTLEFISH, RAW	100	1	GRAMS	1	1	80.8	0	0	0	71	300	16.1	.7	0	0	370	310	59	28	270	3.4	.59	1.2	280	20	0	0	0	.04	.48	7.1	0	1.2	.4	2	13	.7	2	.17	.12	.17	.02	0	110	0	0	0	0	0	0	0	.01	0	0	0	1.4	2	0	0	2.57
1600	34A	MCDONALDS FILET	100	1	Grams	1	350	44.85	3.17	22.95	1.65	272.8	1143.4	12.93	13.67	26.13	0	528.64	191.7	154.75	24.01	239.48	1.19	.08	.95	711.63	48.98	52.37	16.39	.13	.11	.12	4.07	.11	2.17	.13	.55	24.17	.37	2.74	3.87	4.35	.51	3.73	.29	50.16	.77	1.42	.23	.7	.01	0	.8	.22	16.39	0	0	0	1.19	1.6	1.56	2.11
1601	34A	WHITE FISH IN CH	100	1	Grams	1	350	75.72	2.24	4.53	0	111.99	470.44	10.94	4.75	6.77	0	445.28	217.21	119.43	16.42	179.63	.33	.04	.58	673.77	55.34	51.48	28.26	.03	.05	.13	2.89	.37	.28	.2	1.45	9.49	.23	1.57	2.94	1.13	.06	.11	.22	32.86	0	0	0	2.24	0	0	0	0	28.26	0	0	.07	.26	0	2.24	1.73
1602	34A	FISH IN BUN, TAK	100	1	Grams	1	350	50.17	3.42	21.64	1.58	230.64	967.82	9.88	10.77	25.06	0	540.58	193.14	87.21	21.53	160.01	1.18	.05	.45	808.09	60.85	1.44	25.03	.03	.13	.08	3.2	.31	1.86	.12	.56	25.69	.32	1.64	2.43	2.95	.22	4.38	.26	23.88	.84	2.22	.35	0	0	0	.83	.27	25.03	0	0	0	1.18	2.67	.74	1.62
1603	35R	FISH PASTE NOT S	100	1	GRAMS	1	200	67.1	.5	3.2	.2	170	708	15.3	10.5	3.7	0	600	300	280	33	310	9	.6	2.6	940	310	19	0	8.75	.021	.2	7	0	.9	.2	6.3	9	.4	5	2.55	3.43	2.49	.74	0	36	0	.5	0	0	0	0	.2	.08	0	0	0	0	9	.5	0	2.44
1604	34A	FISH PIE	100	1	Grams	1	350	76.78	1.47	10.88	.87	100.67	423.69	7.1	2.85	12.35	0	189.34	289.02	32.97	17.25	90.91	.32	.04	.38	308.36	38.48	24.4	25.15	.17	.12	.04	2.32	3.57	.26	.24	.31	19	.35	.73	1.32	.77	.08	.16	.3	22.11	.12	.23	.06	1.04	0	0	.74	.07	25.15	0	0	0	.32	0	1.47	1.13
1605	34A	FISH PIE 1 CRUST	100	1	Grams	1	350	61.34	1.42	11.2	.52	210.01	876.73	13.76	11.91	12.63	0	255.56	240.02	54.28	20.39	138.92	.39	.03	.47	393.57	75.31	52.78	68.54	.52	.06	.07	4.34	.42	.78	.16	1.2	10.52	.26	1.17	5.03	4.13	.22	.83	.87	54.82	.07	.04	.07	1.2	.02	0	.45	.09	68.54	0	0	0	.39	0	1.42	2.21
1606	33R	FISHCAKES, COATE	100	1	GRAMS	1	250	58.6	0	19.7	.8	154	650	9.9	4.5	19.7	0	600	280	150	22	140	1.1	.04	.5	870	47	0	0	0	.08	.16	3.7	0	.4	.3	1	18	.4	1	.85	2.06	.47	.87	.05	25	0	0	0	0	0	0	.6	.26	0	0	0	0	1.1	0	0	1.58
1607	33R	FISHCAKES FRIED	100	1	GRAMS	1	250	55.2	0	16.8	.7	218	911	8.6	13.4	16.8	0	510	230	110	18	110	.8	.03	.4	640	51	0	0	0	.07	.14	3.2	0	.4	.3	1	17	.3	1	1.83	5.35	1.18	4.43	0	21	0	0	0	0	0	0	.5	.2	0	0	0	0	.8	0	0	1.37
1608	33R	FISHCAKES FRIED	100	1	Grams	1	250	52.49	0	18.02	.75	229.02	958.08	9.28	13.82	18.02	0	691.25	313.39	151.2	25.9	173.95	1.53	.08	.53	863.65	51.31	0	0	0	.09	.14	3.56	0	.43	.32	1.04	18.06	.3	1.07	5.93	5.69	.5	.98	.04	28.49	0	0	0	0	0	0	.53	.28	0	0	0	0	1.53	0	0	1.48
1609	33R	FISHCAKES FRIED	100	1	GRAMS	1	250	55.2	0	16.8	.7	218	911	8.6	13.4	16.8	0	510	230	110	18	110	.8	.03	.4	640	51	0	0	0	.07	.14	3.2	0	.4	.3	1	17	.3	1	4.43	6.07	.18	2.13	0	29	0	0	0	0	0	0	.5	.2	0	0	0	0	.8	0	0	1.37
1610	33R	FISHCAKES FRIED	100	1	GRAMS	1	250	55.2	0	16.8	.7	218	911	8.6	13.4	16.8	0	510	230	110	18	110	.8	.03	.4	640	51	0	0	0	.07	.14	3.2	0	.4	.3	1	17	.3	1	1.95	4.24	.35	6.48	0	21	0	0	0	0	0	0	.5	.2	0	0	0	0	.8	0	0	1.37
1611	33R	FISHCAKES BATTER	100	1	Grams	1	250	40.94	1.6	27.35	1.23	300.15	1255.98	9.59	17.04	28.96	0	530.03	261.58	153.32	23.53	168.75	1.53	.08	.69	717.03	44	35.07	5.53	.2	.11	.16	3.45	.26	3.08	.26	.95	17.67	.44	3.6	2.56	7.69	1.23	4.24	.21	60.3	.1	.06	.1	1.26	.04	0	1	.29	5.53	0	0	0	1.53	0	1.6	1.56
1612	33R	FISHCAKES BATTER	100	1	Grams	1	250	41.06	1.6	27.35	1.23	299.18	1251.98	9.59	16.93	28.96	0	530.63	262.07	153.44	23.53	170.32	1.56	.09	.69	717.27	43.39	35.07	5.53	.2	.11	.16	3.45	.26	.42	.26	.95	17.67	.44	3.6	7.83	6.53	.35	.96	.08	67.57	.1	.06	.1	1.26	.04	0	1	.29	5.53	0	0	0	1.56	0	1.6	1.56
1613	33R	FISHCAKES BATTER	100	1	Grams	1	250	41.06	1.6	27.35	1.23	299.18	1251.98	9.59	16.93	28.96	0	530.27	261.7	153.44	23.66	169.11	1.55	.08	.69	717.52	43.39	35.07	5.53	.2	.11	.16	3.45	.26	.65	.26	.95	17.67	.44	3.6	6.37	7.07	.34	1.75	.08	68.78	.1	.06	.1	1.26	.04	0	1	.29	5.53	0	0	0	1.55	0	1.6	1.56
1614	33R	FISHCAKES BATTER	100	1	Grams	1	250	40.94	1.6	27.35	1.23	299.66	1255.61	9.6	17.04	28.96	0	530.15	262.19	153.69	23.53	168.75	1.53	.08	.69	717.03	44	35.07	5.53	.2	.11	.17	3.45	.26	4.68	.26	.95	17.67	.44	3.6	3.01	4.64	.53	7.58	.08	60.3	.1	.06	.1	1.26	.04	0	1	.29	5.53	0	0	0	1.53	0	1.6	1.56
1615	33R	FISH FINGERS GRI	100	1	GRAMS	1	180	55.7	0	16.6	.7	200	838	14.3	8.9	16.6	0	440	290	92	22	220	.8	.02	.4	590	110	0	0	0	.12	.08	4.4	0	.3	.2	1	16	.3	1	2.82	3.1	.29	1.88	.43	35	0	0	0	0	0	0	.7	.21	0	0	0	0	.8	0	0	2.28
1616	33R	FISH FINGERS FRY	100	1	GRAMS	1	180	53.8	0	15.5	.6	238	994	13.2	14.1	15.5	0	450	260	85	22	220	.8	.04	.3	550	120	0	0	0	.11	.07	4.1	0	2.1	.1	1	16	.3	1	3.57	5.09	.79	3.64	.38	32	0	0	0	0	0	0	.6	.19	0	0	0	0	.8	0	0	2.11
1617	33R	FISH FINGERS FRY	100	1	Grams	1	180	53.77	0	16.06	.67	232.62	972.3	13.12	13.3	16.06	0	531.9	339.54	99.59	31.67	272.08	.8	.04	.33	565.7	124.7	0	0	0	.11	.08	4.18	0	.31	.11	1.07	16.96	.3	1.13	5.16	4.82	.31	1.94	.41	35.52	0	0	0	0	0	0	.67	.33	0	0	0	0	.8	0	0	2.09
1618	33R	FISH FINGERS FRI	100	1	GRAMS	1	180	53.8	0	15.5	.6	238	994	13.2	14.1	15.5	0	450	260	85	22	220	.8	.04	.3	550	120	0	0	0	.11	.07	4.1	0	.3	.1	1	16	.3	1	4.88	5.45	.28	2.6	.28	37	0	0	0	0	0	0	.6	.19	0	0	0	0	.8	0	0	2.11
1619	33R	FISH FINGERS FRI	100	1	GRAMS	1	180	53.8	0	15.5	.6	238	994	13.2	14.1	15.5	0	450	260	85	22	220	.8	.04	.3	550	120	0	0	0	.11	.07	4.1	0	3.1	.1	1	16	.3	1	3.64	4.46	.4	4.7	.3	32	0	0	0	0	0	0	.6	.19	0	0	0	0	.8	0	0	2.11
1620	34A	KEDGEREE	100	1	Grams	1	350	64.47	.06	8.03	.25	174.59	732.09	16.04	8.95	8.09	0	978.16	199.47	49.93	19.53	196.75	1.08	.14	.74	1497.46	55.58	97.33	19.81	.97	.07	.15	4.54	0	1.29	.2	2.01	11.95	.47	6.49	2.55	3.33	.32	1.1	.62	155.1	0	0	0	.06	0	0	.02	.05	19.81	0	0	.2	.87	0	.06	2.57
1621	34B	PRAWN CHOP SUEY	100	1	Grams	1	500	78.2	2.59	2.52	3.09	85.74	360.37	9.58	3.16	5.12	0	806.86	170.4	50.07	25.11	111.94	1.43	.16	.91	1233.46	16.29	9.38	19.4	.08	.08	.1	1.93	3.55	2.27	.09	2.53	40.14	.49	2.8	.46	1.31	.26	.74	.02	95.4	.69	1.12	.64	0	0	.12	.91	.18	10.2	9.19	9.19	.15	1.28	1.08	1.51	1.53
1622	34A	ROE COD HARD RAW	100	1	GRAMS	1	1	73.7	0	0	0	104	439	21.7	1.9	0	0	110	170	11	9	320	1	.24	3.5	220	52	79	0	18	.78	.49	5.1	0	6.2	.3	10	22	3	13	.41	.37	.49	.05	0	330	0	0	0	0	0	0	0	.12	0	0	0	.4	.6	0	0	3.47
1623	33R	ROE COD HARD BAT	100	1	Grams	1	250	45.56	1.59	17.08	.8	291.42	1217.59	17.37	16.89	18.67	0	206.93	187.15	74.46	14.31	263.32	1.28	.18	2.48	362.22	46.73	82.21	5.48	11	.44	.32	3.89	.25	6.07	.25	5.17	19.91	1.71	10.01	2.43	7.36	1.36	4.12	.2	245.34	.1	.06	.1	1.25	.04	0	.69	.2	5.48	0	0	.24	1.04	0	1.59	2.8
1624	33R	ROE COD HARD BAT	100	1	Grams	1	250	48.22	1.64	17.63	.83	261.14	1093.71	17.94	13.02	19.28	0	214.13	193.62	76.98	14.78	273.11	1.34	.19	2.56	374.2	47.31	84.88	5.66	11.36	.45	.33	4.01	.26	3.27	.26	5.33	20.56	1.77	10.33	6.16	4.6	.39	.5	.06	258.91	.11	.06	.11	1.29	.04	0	.71	.21	5.66	0	0	.24	1.09	0	1.64	2.89
1625	33R	ROE COD HARD BAT	100	1	Grams	1	250	48.22	1.64	17.63	.83	261.14	1093.71	17.94	13.02	19.28	0	213.86	193.34	76.98	14.87	272.17	1.33	.19	2.56	374.39	47.31	84.88	5.66	11.36	.45	.33	4.01	.26	3.44	.26	5.33	20.56	1.77	10.33	5.04	5.02	.38	1.1	.06	259.84	.11	.06	.11	1.29	.04	0	.71	.21	5.66	0	0	.24	1.08	0	1.64	2.89
1626	33R	ROE COD HARD BAT	100	1	Grams	1	250	48.13	1.64	17.63	.83	261.51	1096.5	17.95	13.1	19.28	0	213.76	193.71	77.17	14.78	271.9	1.32	.19	2.56	374.02	47.78	84.88	5.66	11.36	.45	.33	4.01	.26	6.53	.26	5.33	20.56	1.77	10.33	2.46	3.15	.53	5.57	.06	253.33	.11	.06	.11	1.29	.04	0	.71	.21	5.66	0	0	.24	1.07	0	1.64	2.89
1627	35R	ROE HERRING SOFT	100	1	GRAMS	1	1	80	0	0	0	91	382	16.8	2.6	0	0	120	200	5	5	620	.5	.07	.8	180	29	79	0	4	0	.29	4.4	0	2.8	.3	5	9	.5	13	.52	.6	.66	.05	0	575	0	0	0	0	0	0	0	.01	0	0	0	.2	.3	0	0	2.68
1628	35R	ROE HERRING SOFT	100	1	GRAMS	1	200	52.3	0	4.7	.2	265	1107	26.3	15.8	4.7	0	180	320	16	9	970	.9	.11	1.2	290	25	75	0	6.3	0	.36	6.5	0	2.4	.3	6	8	.6	15	2.6	5.4	2.07	4.89	.14	895	0	0	0	0	0	0	.2	.06	0	0	0	.4	.5	0	0	4.2
1629	35R	ROE HERRING SOFT	100	1	Grams	1	200	69.59	0	0	0	167.98	699.89	19.63	9.89	0	0	202.89	234.46	7.08	5.99	724.96	.59	.08	.94	306.43	37	160.54	36.1	4.72	0	.27	4.11	0	2.77	.34	5.24	10.49	.46	13.64	5.13	2.13	.82	.14	.3	689.78	0	0	0	0	0	0	0	.01	36.1	0	0	.23	.36	0	0	3.14
1630	35R	ROE HERRING SOFT	100	1	Grams	1	200	68.53	0	0	0	179.17	745.8	19.62	11.13	0	0	140.59	233.97	5.92	5.84	725.36	.6	.08	.93	210.44	34.36	92.28	0	4.67	0	.27	4.11	0	2.64	.35	5.25	10.51	.46	13.66	4.89	3.88	.82	.2	0	676.63	0	0	0	0	0	0	0	.01	0	0	0	.23	.36	0	0	3.14
1631	35R	ROE HERRING SOFT	100	1	Grams	1	200	68.53	0	0	0	179.17	745.8	19.62	11.13	0	0	140.35	233.72	5.92	5.92	724.54	.59	.08	.93	210.6	34.36	92.28	0	4.67	0	.27	4.11	0	2.79	.35	5.25	10.51	.46	13.66	3.91	4.25	.82	.73	0	677.45	0	0	0	0	0	0	0	.01	0	0	0	.23	.35	0	0	3.14
1632	35R	ROE HERRING SOFT	100	1	Grams	1	200	69.76	.08	0	0	166.74	694.77	19.64	9.71	.08	0	205.6	234.05	6.16	5.92	725.28	.6	.08	.95	308.41	35.75	141.68	79.4	5.32	0	.27	4.11	0	2.97	.35	5.25	10.51	.46	13.66	3.48	2.77	.77	.46	1.01	695.03	0	0	0	.08	0	0	0	.01	79.4	0	0	.23	.37	0	.08	3.14
1633	35R	ROE HERRING SOFT	100	1	Grams	1	200	68.45	0	0	0	179.49	748.25	19.63	11.2	0	0	140.26	234.05	6.08	5.84	724.29	.58	.08	.93	210.28	34.77	92.28	0	4.67	0	.27	4.11	0	5.51	.35	5.25	10.51	.46	13.66	1.64	2.6	.94	4.66	0	671.72	0	0	0	0	0	0	0	.01	0	0	0	.23	.35	0	0	3.14
1634	35R	TARAMASALATA	100	1	GRAMS	1	150	35.9	4.1	0	0	446	1837	3.2	46.4	4.1	0	650	60	21	6	300	.4	5.8	.4	1000	52	41	0	2	.08	.1	.9	.9	6.4	.3	2.9	4	3	13	8.19	9	14.74	0	0	250	0	0	0	0	0	4.1	0	.12	0	0	0	.2	.2	0	4.1	.51
1636	33R	FISHCAKE BATTER	100	1	Grams	1	250	40.94	1.6	27.35	1.23	300.15	1255.98	9.59	17.04	28.96	0	530.03	261.58	153.32	23.53	168.75	1.53	.08	.69	717.03	42.66	35.07	5.53	.2	.11	.16	3.45	.26	.38	.26	.95	17.67	.44	3.6	3.17	5.81	.97	5.01	.89	61.15	.1	.06	.1	1.26	.04	0	1	.29	5.53	0	0	0	1.53	0	1.6	1.56
1637	33R	COD IN BATTER FR	100	1	GRAMS	1	250	57	.1	14.2	.7	211	883	12.8	11.8	14.3	0	650	250	42	21	250	.5	.08	.5	800	55	0	0	0	.07	.07	3.5	0	.6	.2	1	8	.3	2	3.62	5.26	.17	1.07	1.16	38	0	.1	0	0	0	0	.6	.14	0	0	0	0	.5	0	.1	2.04
1638	34A	FISH IN SAUCE	100	1	Grams	1	350	76.5	1.98	2.09	.09	118.44	495.03	13.24	5.52	4.08	0	212.62	263.12	81.84	19.03	164.09	.17	.01	.5	323.32	75.94	50.42	43.5	.23	.03	.09	3.89	.31	.36	.15	.66	9.63	.26	1.52	2.83	1.43	.17	.21	.47	44.2	.01	0	.01	1.94	0	0	.08	.02	43.5	0	0	0	.17	0	1.98	2.1
1639	35R	SMOKED MACKEREL	100	1	GRAMS	1	150	48.4	.7	.6	0	368	1521	13.4	34.4	1.3	0	730	230	28	21	160	1	.1	.7	1180	108	165	69	3.3	.11	.44	7.4	.4	1.1	.3	18	3	.9	6	13.23	13.92	3.85	.88	.62	110	.1	0	0	.6	0	0	0	.02	69	0	0	.3	.7	0	.7	2.14
1640	33R	ROE COD HARD BAT	100	1	GRAMS	1	250	64.4	0	8.9	.3	189	790	12.4	11.8	8.9	0	510	270	67	27	210	1.4	.13	1.5	790	26	37	0	8.62	.09	.22	2.9	0	3.2	.1	5	22	1.6	8	1.66	3.89	.69	4.15	.75	192	0	0	0	0	0	0	.2	.44	0	0	0	.2	1.2	0	0	1.98
1641	34B	PRAWN BIRYANI	100	1	Grams	1	400	66.56	1.09	23.69	1.02	150.01	634.24	5.42	3.95	24.78	0	345.15	102.31	34.23	17.39	79.31	.49	.13	.8	532.08	9.56	27.88	16.74	.02	.13	.02	2.19	.8	.57	.11	1.15	9.86	.21	1.1	2.1	.86	.04	.41	.12	44.35	.31	.24	.25	0	0	.28	.37	.36	16.74	0	0	.06	.43	0	1.09	.88
1642	34B	PRAWN CHOW MEIN	100	1	Grams	1	500	76.44	1.81	4.97	2.7	106.21	445.1	8.31	5.29	6.79	0	666.3	137.89	41.13	22.26	97.63	1.23	.14	.8	1014.71	13.76	8.16	15.48	.07	.06	.08	1.71	2.69	2.45	.07	2.08	32.43	.42	2.48	.63	2.35	.42	1.39	.05	79.76	.47	.85	.45	0	.02	0	.82	.18	7.93	7.55	7.55	.12	1.1	.89	.92	1.33
1643	34B	PRAWN CURRY WITH	100	1	Grams	1	400	75.04	2.52	.17	1.16	140.77	584.55	7.68	11.12	2.7	0	424.96	218.51	57.87	24.16	86.11	1.06	.1	.72	657.72	13.09	55.83	568.16	.15	.04	.05	1.55	12.63	2.44	.1	2.48	19.7	.18	1.1	5.76	2.95	.34	.91	.39	101.58	.94	.29	.95	0	0	.31	1	.13	563.41	.88	7.61	.13	.93	0	2.52	1.22
1644	35R	MACKEREL UNSMOKE	100	1	GRAMS	1	300	58.6	0	0	0	239	994	20.8	17.3	0	0	63	360	12	28	230	.8	.09	.7	97	170	48	0	5.4	.15	.32	13.3	0	.5	.5	1	10	.9	6	3.53	8.45	2.99	.54	0	58	0	0	0	0	0	0	0	.02	0	0	0	.3	.5	0	0	3.32
1645	35R	MACKEREL UNSMOKE	100	1	GRAMS	1	200	53.9	0	0	0	220	914	19.1	15.9	0	0	58	330	11	26	210	.7	.08	.6	89	150	44	0	5	.14	.29	12.2	0	.4	.4	9	9	.9	5	3.25	7.77	2.75	.5	0	53	0	0	0	0	0	0	0	.02	0	0	0	.3	.4	0	0	3.05
1646	34B	PRAWN CURRY CREA	100	1	Grams	1	400	62.22	2.07	1.03	.58	248.26	1027.63	8.48	22.53	3.11	0	501.58	194.71	53.84	41.57	131.3	1.44	.26	1.14	781.81	19.71	107.98	106.13	.3	.07	.07	1.69	1.71	1.64	.06	2.3	13.91	.23	1.79	13.58	5.67	.18	.98	.7	117.05	.28	.87	.26	.35	0	.3	.49	.26	105.44	0	1.35	.12	1.32	.46	1.6	1.4
1647	35R	MACKEREL SMOKED	100	1	GRAMS	1	200	47.1	0	0	0	354	1465	18.9	30.9	0	0	750	310	20	28	210	1.2	.09	1.1	1130	150	31	0	8	.26	.52	13	0	.3	.5	6	5	1	3	6.31	15.1	5.34	.97	0	105	0	0	0	0	0	0	0	.02	0	0	0	.5	.7	0	0	3.02
1648	33R	FISHCAKES FROZEN	100	1	GRAMS	1	1	64.9	0	16.7	.7	132	558	8.6	3.9	16.7	0	640	290	140	24	160	1.4	.07	.5	800	47	0	0	0	.09	.14	3.3	0	.4	.3	1	18	.3	1	.78	1.78	.41	.75	.04	21	0	0	0	0	0	0	.5	.26	0	0	0	0	1.4	0	0	1.37
1649	33R	FISH FINGERS FRO	100	1	GRAMS	1	1	63.1	0	14.2	.6	170	713	11.6	7.8	14.2	0	470	300	88	28	240	.7	.04	.3	500	110	0	0	0	.11	.08	3.7	0	.3	.1	1	15	.3	1	2.47	2.71	.25	1.65	.37	29	0	0	0	0	0	0	.6	.3	0	0	0	0	.7	0	0	1.85
1651	37R	ACKEE-CANNED DRA	100	1	GRAMS	1	300	76.7	.8	0	2.4	151	625	2.9	15.2	.8	0	240	270	35	40	47	.7	.27	.6	340	0	0	16	0	.03	.07	1.1	30	2.5	.1	0	41	1.1	4	3.2	9.45	0	1.74	0	0	.1	.7	0	0	0	0	1.7	.2	14	4	0	0	.7	0	.8	.46
1652	37R	ARTICHOKE GLOBE	100	1	GRAMS	1	300	84.4	1.3	0	1	18	78	2.9	.2	1.3	0	15	330	44	27	40	.5	.09	.5	84	2	0	90	0	0	.02	1.5	1	.2	0	0	50	.3	4	.04	.01	.04	.03	0	0	.8	.1	.4	0	0	0	.8	.3	90	0	0	0	.5	0	1.3	.46
1653	37R	ARTICHOKE GLOBE	100	1	GRAMS	1	300	36.3	.6	0	.4	8	34	1.2	.1	.6	0	6	140	19	12	17	.2	.04	.2	36	1	0	39	0	0	.01	.6	0	.1	0	0	21	.1	2	.02	.01	.02	.01	0	0	.3	0	.2	0	0	0	.3	.1	39	0	0	0	.2	0	.6	.19
1654	37R	ARTICHOKE JERUSA	100	1	GRAMS	1	300	80.2	9	0	1.8	41	175	1.6	.1	9	0	3	420	30	11	33	.4	.12	.1	58	3	0	20	0	.1	0	1.3	2	.2	.4	0	35	.4	0	.02	.01	.02	.01	0	0	.1	1.3	.2	0	0	7.4	3.5	.1	20	0	0	0	.4	0	9	.25
1655	37R	ASPARAGUS BOILED	100	1	GRAMS	1	300	91.5	1.4	0	1.4	26	110	3.4	.8	1.4	0	60	220	25	13	50	.6	.08	.7	110	0	0	530	0	.12	.06	1.4	10	1.2	.1	0	155	.2	0	.15	.21	.01	.27	0	0	.5	.2	.7	0	0	0	1.4	.2	525	15	0	0	.6	0	1.4	.54
1656	37R	ASPARAGUS BOILED	100	1	GRAMS	1	300	43.9	.7	0	.7	13	53	1.6	.4	.7	0	29	110	12	6	24	.3	.04	.3	53	0	0	255	0	.06	.03	.7	5	.6	0	0	74	.1	0	.07	.11	.01	.13	0	0	.2	.1	.3	0	0	0	.7	.1	250	7	0	0	.3	0	.7	.25
1657	37R	ASPARAGUS CANNED	100	1	GRAMS	1	300	91.1	1	.5	2.9	24	100	3.4	.5	1.5	0	340	170	21	10	67	.9	.14	.5	510	0	0	285	0	.06	.04	1.1	13	1.2	.1	0	100	.2	0	.09	.13	.01	.17	0	0	.4	.2	.5	0	0	0	2.9	.2	280	9	0	0	.9	0	1	.54
